matrix_size,op1-v1,op2-v1,op1-v2,op2-v2
6000,0.1344,0.254,0.17259999999999998,0.0057
4000,0.1386,0.2579,0.16999999999999998,0.0058
2000,0.1468,0.2967,0.1588,0.0058
1000,0.12419999999999999,0.3311,0.13520000000000001,0.0052
512,2.6606,0.3369,2.9297,0.0089
257,0.0201,0.003,0.0319,0.0088
256,0.3301,0.3194,0.3999,0.0046
129,0.029199999999999997,0.0011,0.0393,0.0074
128,0.1299,0.3166,0.0927,0.0047
65,0.0319,0.0019,0.0264,0.0043
64,0.0485,0.1382,0.0388,0.0051
33,0.0187,0.0046,0.0193,0.004
32,0.0224,0.0049,0.0212,0.0047
