matrix_size,op1-v1,op2-v1,op1-v2,op2-v2
6000,2647.9799,338.8632,2579.375,5.784369e-08
4000,2674.1175000000003,409.1542,2678.2506,2.067311e-07
2000,3540.2048,984.6719,3572.3196,2.142915e-06
1000,6753.384,2357.1156,7328.1214,1.942292e-05
512,5568.3009,347.5768,6729.473,0.0001
257,7059.9784,2577.8417,8087.6021,7.4952
256,5622.7347,1066.5412,7088.5495,0.0012
129,6394.2104,2780.3661,7771.9262,14.4843
128,6357.6846000000005,2710.2985,7624.544400000001,0.0095
65,5037.4342,2752.0411,3947.4917,26.7488
64,4319.4999,2197.4793,3618.7419999999997,0.043
33,3274.8149000000003,2558.1565,1330.2983,17.0852
32,2614.7472,1959.0901,1551.8843,0.2115
