matrix_size,op1-v1,op2-v1,op1-v2,op2-v2
6000,19131.4564,2461.4733,19614.5055,1371.0219
4000,20262.4518,3457.1819,20408.179500000002,1395.3158
2000,22913.9438,4031.6912,23048.0714,1850.4821
1000,14065.798999999999,2969.1864,16452.023999999998,525.1533
512,485.95709999999997,29.8414,576.925,120.2719
257,558.2517,358.8882,496.557,69.5278
256,492.8502,274.5086,539.9393,13.8477
129,351.467,21.6495,266.8751,13.7696
128,437.7232,95.7066,158.3088,13.5696
65,789.1129,46.3806,431.54179999999997,81.4041
64,6870.9077,3863.8387,944.6504,84.0324
33,1402.5845,2043.2855,1105.0545,298.421
32,918.6003,737.6041,1425.5168,888.0793
