matrix_size,op1-v1,op2-v1,op1-v2,op2-v2
6000,698.52425,12358.01,752.7007699999999,1651.611
4000,168.151,3083.444,177.54995,493.3341
2000,12.428266,162.7147,12.460396000000001,46.77569
1000,1.198993,8.44523,1.211751,5.149921
512,1.141376,7.717094,1.180489,0.691642
257,0.019857,0.132605,0.016889,0.085058
256,0.04836,0.340334,0.053943000000000005,0.085178
129,0.002294,0.015275,0.002212,0.010755
128,0.002277,0.015569,0.0024289999999999997,0.010579
65,0.000335,0.002009,0.000328,0.001389
64,0.000355,0.002674,0.000308,0.00134
33,6.3e-05,0.00035,7.9e-05,0.00028
32,7.9e-05,0.000511,7.2e-05,0.000261
